image_name,warm_percentage,cold_percentage,unique_colors,quantized_colors,dominant_rgb_0,dominant_rgb_1,dominant_rgb_2,dominant_hsv_0,dominant_hsv_1,dominant_hsv_2
1,2.9481834425253126,66.51165987080222,16588,16,113,103,148,127,78,148
10,50.1507688727724,19.065232988811108,93223,16,248,250,250,90,2,250
100,20.890725436179984,78.12213039485766,33843,16,48,54,170,118,183,170
101,35.6587815514735,50.899960354169416,53373,16,27,49,56,97,132,56
102,29.916443307342426,65.90419915529566,86454,16,18,18,25,120,71,25
103,16.285189529571554,0.42443511544635143,3703,16,3,2,2,0,85,3
104,78.07332854061826,1.2416778670334134,23770,16,207,155,71,19,168,207
105,18.937424768417564,23.615738883170803,52308,16,22,21,22,150,12,22
106,99.97592209459941,0.0,50226,16,234,203,79,24,169,234
107,100.0,0.0,19559,16,189,152,117,15,97,189
108,31.3496645172534,53.68431944928547,45060,16,73,55,107,130,124,107
109,77.92288347285984,5.758000270051309,29869,16,178,40,28,2,215,178
11,100.0,0.0,10263,16,205,51,44,1,200,205
110,80.38001348163128,1.2022876643073812,33919,16,154,57,56,0,162,154
111,76.0585613470348,0.5896372415500806,16554,16,9,1,2,176,227,9
112,4.991228070175438,3.6383265856950064,7558,16,12,12,12,0,0,12
113,9.094538486106675,65.66364009672857,79157,16,33,26,66,125,155,66
114,13.476282968718053,66.47669188305049,6036,16,10,10,13,120,59,13
115,37.713599496023306,11.254823214426333,15742,16,253,253,250,30,3,253
116,24.358250463509183,56.393477161638295,141196,16,37,17,60,134,183,60
117,0.3109404242046164,0.9698611977542109,17733,16,28,46,42,83,100,46
118,17.993804664723033,76.39508928571429,48882,16,18,21,29,112,97,29
119,0.0,99.67396109637488,2501,16,12,13,20,116,102,20
12,1.9226609813372886,50.37773451983686,40872,16,12,21,29,104,149,29
120,5.937271643398331,71.25110572670282,30711,16,183,188,192,103,12,192
121,0.11911434977578475,97.43974215246637,25811,16,24,34,48,108,128,48
122,99.86306306306307,0.0018018018018018018,51631,16,226,206,155,22,80,226
123,91.13990598713508,0.3772884710539337,13614,16,226,203,147,21,89,226
124,91.9172932330827,0.30162615841930407,10881,16,207,183,123,21,103,207
125,86.74617049617049,10.785048285048285,68942,16,249,231,78,27,175,249
126,9.167832892759032,82.61416057637486,6296,16,4,4,7,120,109,7
127,6.335509950248756,79.80799129353234,7357,16,4,5,8,113,128,8
128,26.86427809242387,61.017401296889105,45381,16,73,90,117,108,96,117
129,35.72342272374252,62.53140847000777,86151,16,25,23,38,124,101,38
13,6.424408137546134,18.320730938878388,13346,16,12,12,12,0,0,12
130,1.060291613452533,77.61148361004683,21675,16,230,231,232,105,2,232
131,32.93756280999773,41.55833630498914,40012,16,35,41,41,90,37,41
132,18.90252321286804,68.60135998067032,37588,16,53,35,37,177,87,53
133,90.80622347949081,0.6895332390381895,14309,16,56,7,5,1,232,56
134,53.84888400572812,16.126981383635375,73460,16,48,44,40,15,43,48
135,4.690300474433315,2.7121771217712176,2815,16,14,14,12,30,36,14
136,52.80944785759294,46.4161940768746,126672,16,208,198,198,0,12,208
137,22.394777390317085,7.99610737166491,30141,16,33,35,30,42,36,35
138,35.65113851373393,42.847589221635026,20742,16,22,22,21,30,12,22
139,22.754192727071455,68.46598771240383,19926,16,18,18,21,120,36,21
14,5.808661570355015,62.73646022285566,19329,16,194,212,219,98,29,219
140,88.70535714285714,0.017857142857142856,27811,16,236,229,221,16,16,236
141,17.795374170732337,0.11680735176437182,16505,16,249,249,243,30,6,249
142,10.566077441077441,0.06523569023569024,1551,16,251,251,249,30,2,251
143,3.8063366718027734,14.924402927580893,30156,16,55,89,86,87,97,89
144,75.38748719607527,20.3811526227829,43648,16,208,144,168,169,78,208
145,39.16631400761744,4.974843654488175,37052,16,12,13,10,40,59,13
146,16.365853658536587,2.224390243902439,19106,16,12,16,9,47,112,16
147,68.16652854287526,24.974406473943354,71946,16,63,21,40,166,170,63
148,0.022878059940517045,93.14344543582705,21669,16,6,5,18,122,184,18
149,98.26910102884129,0.20239500758981277,24022,16,121,57,67,175,135,121
15,69.43968668407311,19.960313315926893,86324,16,25,14,16,175,112,25
150,37.46316687344913,51.024542493796524,17134,16,25,15,21,162,102,25
151,59.603804347826085,4.856521739130435,125624,16,133,114,77,20,107,133
152,94.03989141980408,0.20063731854124867,23946,16,110,63,44,9,153,110
153,94.41376879699249,0.15272556390977443,12414,16,97,53,37,8,158,97
154,26.57800038902937,69.16699085780976,14989,16,8,7,18,123,156,18
155,95.52394034536891,0.0019623233908948193,9677,16,55,6,4,1,236,55
156,59.3063872255489,28.97138415476739,64908,16,209,203,199,12,12,209
157,0.2908600148920328,83.8933358153388,6888,16,63,64,71,116,29,71
158,45.25318040669137,42.74808841697553,58459,16,235,235,222,30,14,235
159,65.60663355961547,7.207048157091439,20939,16,6,2,2,0,170,6
16,80.14474512271869,1.2665198237885462,30969,16,99,18,12,2,224,99
160,94.19108851674642,0.0691537081339713,11068,16,54,39,32,10,104,54
161,7.403977383505557,26.949349636520626,18713,16,2,2,3,120,85,3
162,98.5771522498459,0.0975960550647216,12950,16,215,65,68,179,178,215
163,96.3595166163142,0.14803625377643503,72649,16,129,40,72,169,176,129
164,21.943779163397615,54.83957550481067,79643,16,40,34,44,138,58,44
165,32.31746750307185,42.737502425143894,27095,16,34,27,36,143,64,36
166,20.226598813912485,69.94159721109152,60102,16,16,15,25,123,102,25
167,35.33884985207101,52.740153476331365,18322,16,15,5,9,168,170,15
168,6.657298794395569,86.71187683284457,9623,16,1,0,15,122,255,15
169,10.594729344729345,83.0207344096233,7508,16,2,0,14,124,255,14
17,1.4312699796570765,68.41034582970067,10768,16,9,16,21,103,146,21
170,97.289592760181,0.026018099547511313,27062,16,246,241,233,18,13,246
171,99.19889502762432,0.007892659826361483,7938,16,80,42,21,11,188,80
172,85.76083825435691,13.173940179557347,46315,16,56,34,42,169,100,56
173,95.54771702919851,1.2149715853419558,25111,16,60,34,45,167,111,60
174,15.061866799534961,72.79729280850357,34588,16,216,232,244,103,29,244
175,38.56584779505672,58.33427240628052,39624,16,232,235,241,110,10,241
176,0.0,99.90267255892256,25535,16,12,33,58,106,202,58
177,0.002712673611111111,99.45149739583333,66317,16,14,8,47,125,212,47
178,94.76056165307499,0.383223986755779,27866,16,238,226,209,18,31,238
179,83.97753174861609,2.3339303158580265,14921,16,6,2,1,6,213,6
18,0.1261803972647346,82.48941712797134,28850,16,17,31,40,102,147,40
180,19.835051546391753,65.44639175257731,19209,16,41,44,49,109,42,49
181,74.35560338955341,21.590692351707037,87433,16,45,20,38,158,142,45
182,4.1871921182266005,88.47153804050356,6994,16,92,86,115,126,64,115
183,8.564139941690962,1.2415377773385383,17423,16,13,30,26,83,145,30
184,50.45009456774162,1.1982570806100217,13110,16,253,253,252,30,1,253
185,84.1482319423496,0.0,21756,16,141,132,102,23,71,141
186,93.4290604792697,1.5749809813617344,27788,16,80,59,31,17,156,80
187,3.4747311827956993,78.63010752688172,84673,16,46,50,63,113,69,63
188,0.250501002004008,92.64881113578508,37749,16,89,111,134,105,86,134
189,72.12674412951529,22.727162234430452,55333,16,47,37,44,159,54,47
19,21.06300379326695,15.310870080606923,39900,16,57,60,54,45,26,60
190,13.425663683395642,3.51006381934217,6760,16,1,0,0,0,255,1
191,0.8074029558404558,75.50135772792022,9952,16,11,16,20,103,115,20
192,0.07422402159244265,86.44062078272604,7902,16,11,17,20,100,115,20
193,0.02109704641350211,19.68354430379747,8336,16,118,139,133,81,39,139
194,0.0,49.810844892812106,5683,16,81,108,111,93,69,111
195,46.031445286531046,31.76804946150778,79277,16,21,27,26,85,57,27
196,0.008960573476702509,86.66218637992831,6803,16,7,19,27,102,189,27
197,8.075000000000001,32.440000000000005,8276,16,20,24,23,83,43,24
198,71.85883303938859,4.328336272780717,38723,16,6,2,2,0,170,6
199,100.0,0.0,22603,16,196,56,45,2,196,196
2,29.676870748299322,70.09637188208617,8493,16,107,94,141,128,85,141
20,35.81751916551464,2.138368731934146,9203,16,7,7,6,30,36,7
200,35.41125296576658,46.58626143938538,40588,16,29,29,36,120,50,36
201,27.96616070185211,64.22764935245787,14356,16,26,26,31,120,41,31
