image_name,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,mean_luminance,mean_saturation,dominant_rgb_0,dominant_rgb_1,dominant_rgb_2,dominant_hsv_0,dominant_hsv_1,dominant_hsv_2,warm_percentage,cold_percentage,unique_colors,quantized_colors,luminance_std,contrast_text_vs_background,bright_dark_ratio
1,148.94816053511707,142.80008704815137,169.9570027947038,75.60114206616036,78.32069852513926,66.90293190496907,93.91391395977459,49.82143675264581,170.23544234205343,53.593802386142855,41.117706165165735,66.99056936895457,146.06789678838135,49.82143675264581,113,103,148,127,78,148,2.9481834425253126,66.51165987080222,16588,16,75.91643899871374,1.7084142359989585,0.3804691437210794
10,206.46248715313465,190.33410576121312,174.67604083848823,63.22916897273287,65.00263674601852,75.824127563998,45.36735247920262,76.65651845100739,219.23432197638115,44.22966138509219,69.16384773151859,44.895161814377055,192.63248735771492,76.65651845100739,248,250,250,90,2,250,50.1507688727724,19.065232988811108,93223,16,62.065757564921476,1.2680432703413447,0.8044367740309101
100,136.76677762473216,99.23767982858892,192.60208142026323,86.69491815725195,66.83668790569347,50.698652534292606,131.68189470462198,147.85826063666974,207.6615205081114,17.55055258249628,66.03928318257135,47.31279468665242,113.95727581496786,147.85826063666974,48,54,170,118,183,170,20.890725436179984,78.12213039485766,33843,16,63.09704279987989,1.1729317467603548,0.38741582491582494
101,124.49318091714021,130.89840095149992,86.85734108629576,100.72250411775416,84.34268508830476,69.12043708061444,68.57215541165587,153.88237082066868,147.1010175763182,37.47961932959389,75.30672630030443,86.98618178547294,126.35688664992729,153.88237082066868,28,49,56,98,127,56,35.6587815514735,50.899960354169416,53373,16,82.97081491697608,2.2914091972384143,0.5038985066737148
102,86.59677296539961,82.17815444282002,65.70373669996751,82.03984953048875,70.9222274183257,47.08977098565886,84.81403559535413,124.13373385721248,100.75886076591942,45.18191842299938,60.30338094126233,80.13984867031989,81.92809977968649,124.13373385721248,18,18,25,120,71,25,29.916443307342426,65.90419915529566,86454,16,69.27781172760497,1.6470631508003757,0.27924991877842753
103,96.4248904185702,94.59050500061736,93.20915390788986,116.96610534657664,116.06468113153976,115.97100068124779,12.778691813804173,22.65078250401284,96.44421379182616,41.72425371741509,62.905572828595275,116.97059712352623,94.88076179157922,22.65078250401284,3,2,2,0,85,3,16.285189529571554,0.42443511544635143,3703,16,116.15589135992087,13.153808320131347,0.3819453018891221
104,223.22711218078956,188.5552933454193,129.5869955927859,23.58894893037474,45.922512717193186,81.31274912754199,28.60757040602632,114.41214484418467,223.35132685274903,29.76684318432243,74.1242036411811,23.74930314237919,191.6690109320789,114.41214484418467,207,155,71,19,168,207,78.07332854061826,1.2416778670334134,23770,16,42.95581346264089,1.3950699687962023,0.9998984152783421
105,85.72650157877293,83.24187498909687,84.54114404340316,89.83765956811231,89.51515960957447,89.44136323350293,55.37311375887515,37.87001290930342,89.99788479318947,59.70393935434771,53.33482875185384,89.44109054026465,83.86391382778292,37.87001290930342,22,21,22,150,12,22,18.937424768417564,23.615738883170803,52308,16,89.05032519689834,3.3930258961470017,0.25962528130069956
106,167.25521687950345,132.35570200470858,64.35860918884212,70.92774464913882,69.38197881836476,23.960800192345697,17.076068345580367,145.63097488763646,167.25521687950345,12.611750291903222,41.23664499078345,70.92774464913882,134.8659487657844,145.63097488763646,234,203,79,24,169,234,99.97592209459941,0.0,50226,16,63.32315872016652,1.5239910249852013,0.5153295997717058
107,188.2034659090909,142.63508522727273,98.79892045454545,26.402866998012943,41.14613220174039,26.926039672980583,13.487414772727274,120.54758522727273,188.2034659090909,6.173045386138503,35.362386240836784,26.402866998012943,149.15795186363638,120.54758522727273,189,152,117,15,97,189,100.0,0.0,19559,16,33.100697088042715,1.476255374660173,0.7545170454545455
