image_name,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,mean_luminance,mean_saturation,dominant_rgb_0,dominant_rgb_1,dominant_rgb_2,dominant_hsv_0,dominant_hsv_1,dominant_hsv_2,warm_percentage,cold_percentage,unique_colors,quantized_colors,luminance_std,contrast_text_vs_background,bright_dark_ratio
100_aug_49,136.75249122141028,99.15336433519977,192.1120134492062,85.94861996839647,65.3662435486967,48.83327128504057,132.07847177971502,146.85623449341776,206.36863298038205,17.427656297403416,64.46698817039996,46.37511357874636,113.85855317723937,146.85623449341776,48,53,169,119,183,169,21.83055627109912,77.97150178283329,41852,16,62.27958050476588,1.3188143677288393,0.3948263940671647
110_aug_130,152.67104440275173,97.28576888332987,96.32560859796632,72.0634636275423,94.99214648821527,95.42766179982938,26.231742061010355,129.4056238852987,152.78407801172028,54.75585308510418,88.97499591045693,72.21697936026241,108.9913548861557,129.4056238852987,154,58,57,0,161,154,83.76473722002177,1.3353253190651564,38385,16,86.57892907454965,2.369238157996499,0.30943529520765295
118_aug_112,49.80938522278624,56.67869148336153,68.17642413987592,46.23010021322502,47.34963517188178,52.66122578146073,95.27794698251552,112.44041737168641,72.96553863508178,37.96140638006156,56.56669650774973,54.71964991746401,56.04841327016356,112.44041737168641,18,21,29,112,97,29,17.91765369430344,76.57529610829104,50005,16,46.54726794635514,2.4872580356047633,0.09622109419063733
122_aug_80,214.8924043933855,168.359405150585,116.57363561605915,18.816072333974887,53.564868688848776,52.24296092286083,17.909860691575545,120.13435813093852,214.8924695288265,5.728193326967873,56.15463995078787,18.815334269743534,174.51338822921164,120.13435813093852,224,202,150,21,84,224,99.97842388516621,0.0,48828,16,41.99190898490565,1.5522167510717306,0.7563120313301471
123_aug_69,189.14847113122974,170.55154662051214,124.08274530688324,76.28937555814953,69.17416705383327,53.23099824918588,22.280366573470022,93.72205210136245,189.1614299028092,12.559868231087128,44.001048556831805,76.2585287944664,171.15020531664666,93.72205210136245,225,203,147,22,88,225,95.21146762526072,0.37722451515554967,16807,16,69.14954943292601,0.0,0.8164247991834199
125_aug_101,190.27212598633517,162.0443842556766,72.86577574061948,83.4524216015493,93.41687187825363,27.347554931060422,57.76669246185289,177.0054169891065,197.21937813758757,56.52339423873727,21.673071712286326,74.30327282287404,161.60690661282743,177.0054169891065,248,230,78,27,175,248,87.09843839911106,11.308543497959535,83138,16,79.81997706935333,3.0715687219958334,0.6468176015768135
125_aug_105,192.3217662804855,164.64714691146963,72.73206293721127,83.03289524245015,92.70156323601914,27.27911584699625,56.0316934419901,177.21080741705447,199.07675404175168,55.42336447378185,21.853270195713478,73.88798117064144,163.89450192638094,177.21080741705447,248,230,78,27,175,248,87.51903685195163,10.746329440412001,68088,16,79.31901548128158,2.597972370381878,0.6596910833294447
127_aug_157,14.433774334725086,16.8696949880108,19.514009759042207,30.57465660371634,33.40380641596527,31.56417680676313,106.12958398309775,126.80102956218455,20.06427218002247,27.127161067805826,47.380388374896,33.15601915887659,16.542737783590724,126.80102956218455,4,5,9,114,142,9,6.054965876888509,83.85230645404698,8260,16,32.24305103597756,3.005655274979392,0.019853446685782317
127_aug_37,14.261726328603492,16.654924487389202,19.309202267280405,30.328675518581584,33.131229244893305,31.309299231353048,106.19745501578727,127.04123711340206,19.86097690873816,27.16396283403983,47.366416045583186,32.889985534833265,16.337769414539505,127.04123711340206,4,5,9,114,142,9,6.118994179632518,83.96355613040667,7543,16,31.979671934414792,3.340924452963279,0.019344162513790085
127_aug_41,14.360473844710297,16.61550551254985,19.26213933849402,29.6966750257784,32.61905340244047,30.825634491429717,107.0269059347877,126.48519821721793,19.888036593947923,27.97098968766856,46.92511944178266,32.37964691128829,16.32717274220033,126.48519821721793,5,5,9,120,113,9,6.995073891625616,82.83603096410978,6771,16,31.42343886434772,3.7092962432423295,0.01834388927984987
