image_name,word_count,line_count,char_count,text_area_ratio,dominant_text_position,avg_text_width,avg_text_height,font_width_std,font_height_std,font_variety_estimation,flesch_score,readability,edge_count,edge_density,mean_edge_orientation,std_edge_orientation,edge_orientation_histogram,contour_count,avg_contour_length,height,width,symmetry_left_right,symmetry_top_bottom,aspect_ratio,balance_left_right,balance_top_bottom,rule_of_thirds_score
1.png,2.0,2.0,12.0,1.0031154075227928,top,274.0,80.0,25.0,1.0,Likely varied fonts/styles,35.61,Difficult (College),4688,0.10738992990333074,92.81326324838757,55.281148152967575,"[0.15315699658703072, 0.0829778156996587, 0.10004266211604096, 0.09876279863481228, 0.18195392491467577, 0.1094283276450512, 0.1171075085324232, 0.15656996587030717]",40,188.30565156638622,146,299,0.713,0.704,2.048,0.959,0.964,0.177
10.png,,,,,,,,,,,0.0,No readable text detected,8046,0.03900599197192112,89.604227473021,57.35110012576309,"[0.2017151379567487, 0.06674123788217748, 0.08140691026597068, 0.14939100173999503, 0.13174248073576933, 0.10029828486204326, 0.09221973651503852, 0.17648521004225703]",71,206.15105751870382,278,742,0.814,0.753,2.669,0.996,0.976,0.028
100.png,1.0,1.0,10.0,0.9543541475359657,bottom,118.0,14.0,0.0,0.0,Insufficient text,36.62,Difficult (College),3071,0.05875038261401898,90.49205290639689,60.47958143766415,"[0.1859329208726799, 0.1383914034516444, 0.10517746662324975, 0.04819277108433735, 0.07131227613155323, 0.13546076196678605, 0.13057635949202215, 0.18495604037772712]",52,95.30041952775075,242,216,0.863,0.618,0.893,0.915,0.604,0.073
101.png,1.0,1.0,1.0,1.1260340954142989,center,28.0,38.0,0.0,0.0,Insufficient text,121.22,Very Easy (5th grade),7992,0.10561649266552134,88.91838259637831,64.44640637923582,"[0.24061561561561562, 0.07682682682682683, 0.09184184184184184, 0.1036036036036036, 0.09296796796796797, 0.08120620620620621, 0.08245745745745746, 0.23048048048048048]",93,109.0758771306725,235,322,0.715,0.61,1.37,0.972,0.73,0.124
102.png,2.0,2.0,10.0,0.8295108430799221,top,652.5,243.5,244.5,18.5,Likely varied fonts/styles,77.91,Fairly Easy (7th grade),11702,0.029701713775178686,73.25583771032821,55.85367011908189,"[0.25662279952144934, 0.1509143736113485, 0.09007007349171083, 0.11801401469834216, 0.10664843616475816, 0.09032643992479918, 0.08921551871474961, 0.09818834387284225]",70,227.9047642316137,432,912,0.717,0.722,2.111,0.926,0.945,0.063
103.png,3.0,2.0,15.0,0.6798138659093715,top,405.5,77.5,319.5,39.5,Likely varied fonts/styles,-21.81,Very Confusing (College graduate),5395,0.04163322632423756,66.98362428794911,61.175693173747554,"[0.38016682113067657, 0.051714550509731234, 0.04467099165894347, 0.07896200185356812, 0.22242817423540315, 0.04077849860982391, 0.05449490268767377, 0.1267840593141798]",24,278.4109687159459,178,728,0.778,0.603,4.09,0.98,0.592,0.03
104.png,2.0,2.0,14.0,0.6556434219985622,top,332.0,74.0,262.0,50.0,Likely varied fonts/styles,-6.69,Very Confusing (College graduate),6339,0.04953427312224549,86.45546920653011,64.23774829881933,"[0.2875847925540306, 0.03707209339012463, 0.027133617289793344, 0.1353525792711784, 0.19072408897302415, 0.028237892412052375, 0.04953462691276227, 0.24436030919703422]",27,379.41663837874376,214,598,0.903,0.818,2.794,0.996,0.891,0.088
105.png,3.0,1.0,13.0,0.7857927882350889,top,862.0,158.0,0.0,0.0,Insufficient text,77.91,Fairly Easy (7th grade),9980,0.04352528653420093,91.47969950395746,62.367744406320696,"[0.23146292585170342, 0.04969939879759519, 0.053006012024048095, 0.13917835671342685, 0.16152304609218437, 0.0656312625250501, 0.05771543086172345, 0.24178356713426855]",76,171.3693533680941,266,862,0.775,0.751,3.241,0.936,0.795,0.155
106.png,,,,,,,,,,,0.0,No readable text detected,4362,0.038899193836056216,78.89288918263792,54.72111812903009,"[0.1854653828519028, 0.22077028885832187, 0.06808803301237965, 0.09674461256304448, 0.11600183402109124, 0.08207244383310408, 0.1375515818431912, 0.09330582301696469]",27,289.7069666562257,262,428,0.783,0.848,1.634,0.872,0.934,0.04
107.png,6.0,3.0,23.0,0.51875,top,159.33,38.0,32.88,1.63,Likely varied fonts/styles,102.05,Very Easy (5th grade),543,0.015426136363636364,94.2260556889648,56.11640897702565,"[0.15285451197053407, 0.0865561694290976, 0.09760589318600368, 0.11233885819521179, 0.1141804788213628, 0.13812154696132597, 0.14548802946593, 0.15285451197053407]",9,107.00565078523424,160,220,0.831,0.935,1.375,0.881,0.998,0.0
